CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0.016675
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0
IO	 0	 82.8167
IO	 2	 82.8333
IO	 4	 82.8667
IO	 6	 82.9
IO	 8	 82.9167
IO	 10	 82.95
IO	 12	 82.9667
IO	 14	 82.9833
IO	 16	 82.9833
IO	 18	 83
IO	 20	 83.0166
IO	 22	 83.0167
IO	 24	 83.0167
IO	 26	 83.0167
IO	 28	 83.0167
IO	 30	 83.0166
IO	 32	 83.0166
IO	 34	 83
IO	 36	 82.9833
IO	 38	 82.9833
