CPU	 1	 0
CPU	 77	 0
CPU	 3	 0
CPU	 79	 0
CPU	 5	 0
CPU	 81	 0.016675
CPU	 7	 0
CPU	 83	 0
CPU	 85	 0
CPU	 87	 0
CPU	 89	 0
CPU	 91	 0
CPU	 93	 0
CPU	 95	 0
CPU	 97	 0
CPU	 9	 0
CPU	 11	 0
CPU	 99	 0
CPU	 13	 0.016675
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
CPU	 51	 0
CPU	 53	 0
CPU	 55	 0
CPU	 57	 0
CPU	 61	 0
CPU	 65	 0
CPU	 69	 0
CPU	 71	 0
CPU	 59	 0.01665
CPU	 63	 0.016675
CPU	 67	 0.016675
CPU	 73	 0.01665
CPU	 75	 0
IO	 78	 27821.8
IO	 80	 27821.9
IO	 82	 27822
IO	 84	 27822
IO	 86	 27822.1
IO	 88	 27822.2
IO	 90	 27822.2
IO	 92	 27822.3
IO	 94	 27822.3
IO	 96	 27822.4
IO	 98	 27822.4
IO	 0	 27822.5
IO	 2	 27822.6
IO	 4	 27822.6
IO	 6	 27822.6
IO	 8	 27822.6
IO	 10	 27822.6
IO	 12	 27822.7
IO	 14	 27822.7
IO	 16	 27822.7
IO	 18	 27822.7
IO	 20	 27822.7
IO	 22	 27822.8
IO	 24	 27822.8
IO	 26	 27822.8
IO	 28	 27822.8
IO	 30	 27822.8
IO	 32	 27822.8
IO	 34	 27822.8
IO	 36	 27822.9
IO	 38	 27822.9
IO	 40	 27823
IO	 42	 27823
IO	 44	 27823
IO	 46	 27823
IO	 48	 27823
IO	 50	 27823
IO	 52	 27823
IO	 54	 27823
IO	 64	 27823
IO	 56	 27823.1
IO	 58	 27823.1
IO	 60	 27823.1
IO	 62	 27823.1
IO	 66	 27823.1
IO	 68	 27823
IO	 70	 27823
IO	 72	 27823
IO	 74	 27823
IO	 76	 27823
