CPU	 39	 0
IO	 0	 6.5
CPU	 37	 0
IO	 38	 6.8
CPU	 35	 0
IO	 36	 6.53335
CPU	 33	 0
IO	 34	 6.81665
CPU	 31	 0
IO	 32	 6.56668
CPU	 29	 0
IO	 30	 6.8
CPU	 27	 0
IO	 28	 6.55
CPU	 25	 0
IO	 26	 6.78332
CPU	 23	 0
IO	 24	 6.56668
CPU	 21	 0
IO	 22	 6.76665
CPU	 19	 0
IO	 20	 6.55
CPU	 17	 0
IO	 18	 6.71665
CPU	 15	 0
IO	 16	 6.56668
CPU	 13	 0
IO	 14	 6.73332
CPU	 11	 0
IO	 12	 6.58335
CPU	 9	 0
IO	 10	 6.75
CPU	 7	 0
IO	 8	 6.58335
CPU	 5	 0
IO	 6	 6.7
CPU	 3	 0
IO	 4	 6.58335
CPU	 1	 0
IO	 2	 5.73332
